ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.45,1.07
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.48,1.04
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.43,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.44,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.43,1.07
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.4,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.37,0.72
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.42,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.43,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.41,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.4,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.43,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.37,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.43,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.43,1.08,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.44,1.05
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.41,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.44,1.05
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.42,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.43,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.42,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.43,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-20.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-22.IMPUTED.csv,0.44,1.06
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.42,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.22-10.IMPUTED.csv,0.43,0.95
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-12.MASKED.csv,0.38,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-14.MASKED.csv,0.37,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-16.MASKED.csv,0.36,1.06,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.38,1.07
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-34.MASKED.csv,0.33,1.04,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.35,1.11
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.12-14.MASKED.csv,0.38,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.39,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-16.MASKED.csv,0.37,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.38,1.08
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-18.MASKED.csv,0.37,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-18.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-22.MASKED.csv,0.37,1.06,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.37,1.06
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-20.MASKED.csv,0.37,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.38,1.08
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-22.MASKED.csv,0.37,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.39,1.08
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.22-10.MASKED.csv,0.37,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.18,0.83
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.35,1.07
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.34,0.96,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.34,0.95
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.39,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.39,1.07
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.38,1.08
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.36,1.06,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.38,1.07
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.38,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.36,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.38,1.1
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.18-20.IMPUTED.csv,0.39,1.09
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.37,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.18-22.IMPUTED.csv,0.39,1.1
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.41,1,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.22-10.IMPUTED.csv,0.26,0.89
0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-12.MASKED.csv,0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.13,1.6
0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-14.MASKED.csv,0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.12,1.58
0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-16.MASKED.csv,0.12,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.11,1.57
0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-34.MASKED.csv,0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.12,1.46
0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.12-14.MASKED.csv,0.13,1.6,nparactformat_1001973_90001_3_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.13,1.6
