ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV,Mask,Weekday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.ZERODIVBLANK.csv,,,10-12,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.ZERODIVBLANK.csv,,,10-14,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.ZERODIVBLANK.csv,,,10-16,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.ZERODIVBLANK.csv,,,10-34,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.ZERODIVBLANK.csv,,,12-14,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.ZERODIVBLANK.csv,,,14-16,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.ZERODIVBLANK.csv,,,14-18,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.ZERODIVBLANK.csv,,,16-18,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.ZERODIVBLANK.csv,,,16-22,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.18-20.IMPUTED.ZERODIVBLANK.csv,,,18-20,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.18-22.IMPUTED.ZERODIVBLANK.csv,,,18-22,Wednesday
0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.19,1.33,nparactformat_1001778_90001_0_0.cwa.RData.Wednesday.22-10.IMPUTED.ZERODIVBLANK.csv,,,22-10,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-12.MASKED.csv,0.42,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.44,1.06,10-12,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-14.MASKED.csv,0.42,1.05,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.44,1.05,10-14,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-16.MASKED.csv,0.41,1.04,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.45,1.05,10-16,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-34.MASKED.csv,0.37,1.03,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.38,1.04,10-34,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.12-14.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.44,1.06,12-14,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-16.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.45,1.07,14-16,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-18.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.48,1.04,14-18,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-18.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.43,1.06,16-18,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.44,1.06,16-22,Saturday
